,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
34,2029,0,0°,IceCube,1.0836790369247931e-13,3,1.083679036924793
35,2029,0,0°,Plenum-1,9.241162875469555e-14,3,0.9241162875469554
36,2029,30,30°,IceCube,6.601095557949372e-14,3,0.6601095557949372
37,2029,30,30°,Plenum-1,6.244225602743022e-14,3,0.6244225602743022
38,2030,-30,-30°,Plenum-1,1.9116118954529276e-13,3,1.9116118954529275
39,2030,0,0°,IceCube,1.0480934099631463e-13,3,1.0480934099631463
40,2030,0,0°,Plenum-1,8.556201765093216e-14,3,0.8556201765093217
41,2030,30,30°,IceCube,6.370321924340908e-14,3,0.6370321924340908
42,2030,30,30°,Plenum-1,5.939307444064863e-14,3,0.5939307444064863
43,2031,-30,-30°,Plenum-1,1.5763502796688777e-13,3,1.5763502796688778
44,2031,0,0°,IceCube,1.0154382326634895e-13,3,1.0154382326634894
45,2031,0,0°,Plenum-1,7.988500372833486e-14,3,0.7988500372833486
46,2031,30,30°,IceCube,6.159011234250269e-14,3,0.6159011234250269
47,2031,30,30°,Plenum-1,5.670126096744455e-14,3,0.5670126096744456
48,2032,-30,-30°,Plenum-1,1.2727277647524874e-13,3,1.2727277647524873
49,2032,0,0°,IceCube,9.853461639118698e-14,3,0.9853461639118698
50,2032,0,0°,Plenum-1,7.365824054719578e-14,3,0.7365824054719577
51,2032,30,30°,IceCube,5.964649984829797e-14,3,0.5964649984829797
52,2032,30,30°,Plenum-1,5.3925186545487205e-14,3,0.539251865454872
53,2033,-30,-30°,Plenum-1,1.0826026293703418e-13,3,1.0826026293703417
54,2033,0,0°,IceCube,9.57421356705278e-14,3,0.957421356705278
55,2033,0,0°,Plenum-1,6.854971999838294e-14,3,0.6854971999838294
56,2033,30,30°,IceCube,5.785184173859848e-14,3,0.5785184173859848
57,2033,30,30°,Plenum-1,5.1478188462348773e-14,3,0.5147818846234877
58,2034,-30,-30°,Plenum-1,9.508498953439438e-14,3,0.9508498953439438
59,2034,0,0°,IceCube,9.315939241112737e-14,3,0.9315939241112737
60,2034,0,0°,Plenum-1,6.426924806678133e-14,3,0.6426924806678133
61,2034,30,30°,IceCube,5.618882498154755e-14,3,0.5618882498154755
62,2034,30,30°,Plenum-1,4.930271763900998e-14,3,0.4930271763900998
63,2035,-30,-30°,Plenum-1,8.533987906393085e-14,3,0.8533987906393085
64,2035,-30,-30°,Plenum-2,8.533987906393085e-14,3,0.8533987906393085
65,2035,0,0°,IceCube,9.075422942263648e-14,3,0.9075422942263648
66,2035,0,0°,Plenum-1,6.062182354386028e-14,3,0.6062182354386028
67,2035,0,0°,Plenum-2,6.062182354386028e-14,3,0.6062182354386028
68,2035,30,30°,IceCube,5.464263928854418e-14,3,0.5464263928854418
69,2035,30,30°,Plenum-1,4.7352814052729993e-14,3,0.4735281405272999
70,2035,30,30°,Plenum-2,4.7352814052729993e-14,3,0.4735281405272999
71,2036,-30,-30°,Plenum-1,7.779565355488976e-14,3,0.7779565355488975
72,2036,-30,-30°,Plenum-2,7.779565355488976e-14,3,0.7779565355488975
73,2036,0,0°,IceCube,8.850785240189433e-14,3,0.8850785240189433
74,2036,0,0°,Plenum-1,5.746104365041388e-14,3,0.5746104365041388
75,2036,0,0°,Plenum-2,5.326842974754338e-14,3,0.5326842974754338
76,2036,30,30°,IceCube,5.3201076365590586e-14,3,0.5320107636559058
77,2036,30,30°,Plenum-1,4.559346964712537e-14,3,0.4559346964712537
78,2036,30,30°,Plenum-2,4.041957228335132e-14,3,0.40419572283351324
79,2037,-30,-30°,Plenum-1,7.175608460368076e-14,3,0.7175608460368076
80,2037,-30,-30°,Plenum-2,7.175608460368076e-14,3,0.7175608460368076
81,2037,0,0°,IceCube,8.640411077445102e-14,3,0.8640411077445103
82,2037,0,0°,Plenum-1,5.4703404999015245e-14,3,0.5470340499901525
83,2037,0,0°,Plenum-2,4.793510144871935e-14,3,0.47935101448719347
84,2037,30,30°,IceCube,5.185312262591613e-14,3,0.5185312262591614
85,2037,30,30°,Plenum-1,4.399126389088368e-14,3,0.43991263890883675
86,2037,30,30°,Plenum-2,3.5635235833607664e-14,3,0.35635235833607665
87,2038,-30,-30°,Plenum-1,6.679397282985545e-14,3,0.6679397282985545
88,2038,-30,-30°,Plenum-2,6.679397282985545e-14,3,0.6679397282985545
89,2038,0,0°,IceCube,8.442902640726683e-14,3,0.8442902640726684
90,2038,0,0°,Plenum-1,5.226782418753717e-14,3,0.5226782418753717
91,2038,0,0°,Plenum-2,4.385035713105757e-14,3,0.4385035713105757
92,2038,30,30°,IceCube,5.058950450689862e-14,3,0.5058950450689862
93,2038,30,30°,Plenum-1,4.2535230065893294e-14,3,0.4253523006589329
94,2038,30,30°,Plenum-2,3.209940487826576e-14,3,0.3209940487826576
95,2039,-30,-30°,Plenum-1,6.263268423353509e-14,3,0.626326842335351
96,2039,-30,-30°,Plenum-2,6.263268423353509e-14,3,0.626326842335351
97,2039,0,0°,IceCube,8.257041416257937e-14,3,0.8257041416257938
98,2039,0,0°,Plenum-1,5.009834621085982e-14,3,0.5009834621085982
99,2039,0,0°,Plenum-2,4.060020706587533e-14,3,0.4060020706587533
100,2039,30,30°,IceCube,4.940213628426291e-14,3,0.49402136284262915
101,2039,30,30°,Plenum-1,4.119986800527839e-14,3,0.4119986800527839
102,2039,30,30°,Plenum-2,2.935705797241906e-14,3,0.29357057972419065
103,2040,-30,-30°,Plenum-1,5.908419318755993e-14,3,0.5908419318755993
104,2040,-30,-30°,Plenum-2,5.908419318755993e-14,3,0.5908419318755993
105,2040,-30,-30°,Plenum-3,5.908419318755993e-14,3,0.5908419318755993
106,2040,0,0°,IceCube,8.081764153205128e-14,3,0.8081764153205128
107,2040,0,0°,Plenum-1,4.8148265499097324e-14,3,0.48148265499097326
108,2040,0,0°,Plenum-2,3.793911682452661e-14,3,0.3793911682452661
109,2040,0,0°,Plenum-3,3.793911682452661e-14,3,0.3793911682452661
110,2040,30,30°,IceCube,4.828395542270511e-14,3,0.4828395542270511
111,2040,30,30°,Plenum-1,3.996996620617657e-14,3,0.3996996620617657
112,2040,30,30°,Plenum-2,2.71618446794994e-14,3,0.271618446794994
113,2040,30,30°,Plenum-3,2.71618446794994e-14,3,0.271618446794994
114,2041,-30,-30°,Plenum-1,5.60163540061689e-14,3,0.560163540061689
115,2041,-30,-30°,Plenum-2,5.60163540061689e-14,3,0.560163540061689
116,2041,-30,-30°,Plenum-3,3.3523053483152337e-14,3,0.3352305348315234
117,2041,0,0°,IceCube,7.916134872734361e-14,3,0.7916134872734361
118,2041,0,0°,Plenum-1,4.6391767967134896e-14,3,0.46391767967134895
119,2041,0,0°,Plenum-2,3.571120599879175e-14,3,0.3571120599879175
120,2041,0,0°,Plenum-3,2.8302072294652586e-14,3,0.28302072294652586
121,2041,30,30°,IceCube,4.722879162330555e-14,3,0.47228791623305555
122,2041,30,30°,Plenum-1,3.8832860471937646e-14,3,0.38832860471937647
123,2041,30,30°,Plenum-2,2.535621370886049e-14,3,0.2535621370886049
124,2041,30,30°,Plenum-3,2.3066068514752324e-14,3,0.23066068514752325
125,2042,-30,-30°,Plenum-1,5.332602053679725e-14,3,0.5332602053679725
126,2042,-30,-30°,Plenum-2,5.332602053679725e-14,3,0.5332602053679725
127,2042,-30,-30°,Plenum-3,2.5211142688682945e-14,3,0.25211142688682947
128,2042,0,0°,IceCube,7.759329269115848e-14,3,0.7759329269115848
129,2042,0,0°,Plenum-1,4.479306064163914e-14,3,0.44793060641639143
130,2042,0,0°,Plenum-2,3.3812603140869045e-14,3,0.33812603140869046
131,2042,0,0°,Plenum-3,2.329412343398772e-14,3,0.23294123433987718
132,2042,30,30°,IceCube,4.6231149380318214e-14,3,0.46231149380318215
133,2042,30,30°,Plenum-1,3.777777404651536e-14,3,0.3777777404651536
134,2042,30,30°,Plenum-2,2.3839813654004037e-14,3,0.23839813654004036
135,2042,30,30°,Plenum-3,2.0317119338991855e-14,3,0.20317119338991854
136,2043,-30,-30°,Plenum-1,5.095724660505746e-14,3,0.5095724660505746
137,2043,-30,-30°,Plenum-2,5.095724660505746e-14,3,0.5095724660505746
138,2043,-30,-30°,Plenum-3,2.0848388442128262e-14,3,0.20848388442128263
139,2043,0,0°,IceCube,7.610612159797886e-14,3,0.7610612159797886
140,2043,0,0°,Plenum-1,4.333262975496141e-14,3,0.4333262975496141
141,2043,0,0°,Plenum-2,3.21707644403726e-14,3,0.321707644403726
142,2043,0,0°,Plenum-3,2.0139144121273445e-14,3,0.20139144121273445
143,2043,30,30°,IceCube,4.528619422419128e-14,3,0.4528619422419128
144,2043,30,30°,Plenum-1,3.6795586724381155e-14,3,0.3679558672438115
145,2043,30,30°,Plenum-2,2.2545116672476414e-14,3,0.22545116672476415
146,2043,30,30°,Plenum-3,1.8317495424219062e-14,3,0.18317495424219063
147,2044,-30,-30°,Plenum-1,4.884662501303296e-14,3,0.48846625013032957
148,2044,-30,-30°,Plenum-2,4.884662501303296e-14,3,0.48846625013032957
149,2044,-30,-30°,Plenum-3,1.808605284413852e-14,3,0.18086052844138523
150,2044,0,0°,IceCube,7.469339292596674e-14,3,0.7469339292596674
151,2044,0,0°,Plenum-1,4.199227614406768e-14,3,0.4199227614406768
152,2044,0,0°,Plenum-2,3.073358617008105e-14,3,0.3073358617008105
153,2044,0,0°,Plenum-3,1.7935113138328606e-14,3,0.17935113138328607
154,2044,30,30°,IceCube,4.438962718313842e-14,3,0.4438962718313842
155,2044,30,30°,Plenum-1,3.587852507885647e-14,3,0.35878525078856466
156,2044,30,30°,Plenum-2,2.1423984344659742e-14,3,0.2142398434465974
157,2044,30,30°,Plenum-3,1.678329221764527e-14,3,0.16783292217645268
158,2045,-30,-30°,Plenum-1,4.695201496513147e-14,3,0.4695201496513147
159,2045,-30,-30°,Plenum-2,4.695201496513147e-14,3,0.4695201496513147
160,2045,-30,-30°,Plenum-3,1.6148186506995622e-14,3,0.16148186506995624
161,2045,0,0°,IceCube,7.334926842324866e-14,3,0.7334926842324866
162,2045,0,0°,Plenum-1,4.075696375944463e-14,3,0.40756963759444625
163,2045,0,0°,Plenum-2,2.9462637220337566e-14,3,0.2946263722033757
164,2045,0,0°,Plenum-3,1.6287145564340965e-14,3,0.16287145564340966
165,2045,30,30°,IceCube,4.353766449269225e-14,3,0.43537664492692246
166,2045,30,30°,Plenum-1,3.501996098033512e-14,3,0.3501996098033512
167,2045,30,30°,Plenum-2,2.044195648656979e-14,3,0.20441956486569787
168,2045,30,30°,Plenum-3,1.5560662220651788e-14,3,0.15560662220651789
169,2046,-30,-30°,Plenum-1,4.524025410980206e-14,3,0.4524025410980206
170,2046,-30,-30°,Plenum-2,4.524025410980206e-14,3,0.4524025410980206
171,2046,-30,-30°,Plenum-3,1.4696827722480336e-14,3,0.14696827722480335
172,2046,0,0°,IceCube,7.206854944497459e-14,3,0.720685494449746
173,2046,0,0°,Plenum-1,3.961369681197436e-14,3,0.3961369681197436
174,2046,0,0°,Plenum-2,2.8328709276453906e-14,3,0.28328709276453906
175,2046,0,0°,Plenum-3,1.500411365758733e-14,3,0.15004113657587329
176,2046,30,30°,IceCube,4.272681625588715e-14,3,0.4272681625588715
177,2046,30,30°,Plenum-1,3.421410478442211e-14,3,0.3421410478442211
178,2046,30,30°,Plenum-2,1.9573090362193246e-14,3,0.19573090362193246
179,2046,30,30°,Plenum-3,1.455820518605239e-14,3,0.14558205186052392
180,2047,-30,-30°,Plenum-1,4.368435500644512e-14,3,0.4368435500644512
181,2047,-30,-30°,Plenum-2,4.368435500644512e-14,3,0.4368435500644512
182,2047,-30,-30°,Plenum-3,1.3562200266822382e-14,3,0.13562200266822383
183,2047,0,0°,IceCube,7.084655106591917e-14,3,0.7084655106591916
184,2047,0,0°,Plenum-1,3.8552998986107263e-14,3,0.3855299898610726
185,2047,0,0°,Plenum-2,2.730920689291985e-14,3,0.2730920689291985
186,2047,0,0°,Plenum-3,1.3969562219246733e-14,3,0.13969562219246734
187,2047,30,30°,IceCube,4.194805790980166e-14,3,0.4194805790980166
188,2047,30,30°,Plenum-1,3.3455939592063254e-14,3,0.33455939592063255
189,2047,30,30°,Plenum-2,1.8797854437725873e-14,3,0.18797854437725872
190,2047,30,30°,Plenum-3,1.3718021866052867e-14,3,0.13718021866052868
191,2048,-30,-30°,Plenum-1,4.226286325596605e-14,3,0.4226286325596605
192,2048,-30,-30°,Plenum-2,4.226286325596605e-14,3,0.4226286325596605
193,2048,-30,-30°,Plenum-3,1.264369696930646e-14,3,0.1264369696930646
194,2048,0,0°,IceCube,6.967906703193768e-14,3,0.6967906703193768
195,2048,0,0°,Plenum-1,3.75647831399737e-14,3,0.375647831399737
196,2048,0,0°,Plenum-2,2.638655185103796e-14,3,0.2638655185103796
197,2048,0,0°,Plenum-3,1.3111573901633254e-14,3,0.13111573901633253
198,2048,30,30°,IceCube,4.12112043262808e-14,3,0.41211204326280804
199,2048,30,30°,Plenum-1,3.2741108219122617e-14,3,0.32741108219122617
