,Year,dec,dec_label,identifier,dp_flux,sigma,scaled_flux
337,2054,30,30°,PLEnuM,7.270541717998034e-15,5,0.07270541717998034
338,2020,0,0°,IceCube extrapolated,2.8979936406770647e-14,2,0.28979936406770646
339,2020,0,0°,PLEnuM,2.8979936406770647e-14,2,0.28979936406770646
340,2020,30,30°,IceCube extrapolated,1.5971912738160556e-14,2,0.15971912738160557
341,2020,30,30°,PLEnuM,1.5971912738160556e-14,2,0.15971912738160557
342,2021,0,0°,IceCube extrapolated,2.750056840132381e-14,2,0.2750056840132381
343,2021,0,0°,PLEnuM,2.750056840132381e-14,2,0.2750056840132381
344,2021,30,30°,IceCube extrapolated,1.5133919345093787e-14,2,0.15133919345093788
345,2021,30,30°,PLEnuM,1.5133919345093787e-14,2,0.15133919345093788
346,2022,0,0°,IceCube extrapolated,2.6217636321071993e-14,2,0.2621763632107199
347,2022,0,0°,PLEnuM,2.6217636321071993e-14,2,0.2621763632107199
348,2022,30,30°,IceCube extrapolated,1.4411011479334296e-14,2,0.14411011479334296
349,2022,30,30°,PLEnuM,1.4411011479334296e-14,2,0.14411011479334296
350,2023,0,0°,IceCube extrapolated,2.5100568973749723e-14,2,0.2510056897374972
351,2023,0,0°,PLEnuM,2.5100568973749723e-14,2,0.2510056897374972
352,2023,30,30°,IceCube extrapolated,1.3779341631850181e-14,2,0.1377934163185018
353,2023,30,30°,PLEnuM,1.3779341631850181e-14,2,0.1377934163185018
354,2024,0,0°,IceCube extrapolated,2.4106155778278556e-14,2,0.24106155778278557
355,2024,0,0°,PLEnuM,2.4106155778278556e-14,2,0.24106155778278557
356,2024,30,30°,IceCube extrapolated,1.322142842715837e-14,2,0.1322142842715837
357,2024,30,30°,PLEnuM,1.322142842715837e-14,2,0.1322142842715837
358,2025,0,0°,IceCube extrapolated,2.3220604731153237e-14,2,0.23220604731153235
359,2025,0,0°,PLEnuM,2.3220604731153237e-14,2,0.23220604731153235
360,2025,30,30°,IceCube extrapolated,1.2724105611135314e-14,2,0.12724105611135314
361,2025,30,30°,PLEnuM,1.2724105611135314e-14,2,0.12724105611135314
362,2026,-30,-30°,PLEnuM,8.743261887874169e-14,2,0.874326188787417
363,2026,0,0°,IceCube extrapolated,2.242450155434385e-14,2,0.2242450155434385
364,2026,0,0°,PLEnuM,2.138306820662443e-14,2,0.2138306820662443
365,2026,30,30°,IceCube extrapolated,1.2277267439571474e-14,2,0.12277267439571474
366,2026,30,30°,PLEnuM,1.2148949611197775e-14,2,0.12148949611197775
367,2027,-30,-30°,PLEnuM,5.720517855838204e-14,2,0.5720517855838204
368,2027,0,0°,IceCube extrapolated,2.17033903145937e-14,2,0.21703390314593698
369,2027,0,0°,PLEnuM,1.991013382758038e-14,2,0.1991013382758038
370,2027,30,30°,IceCube extrapolated,1.1873013031060118e-14,2,0.11873013031060119
371,2027,30,30°,PLEnuM,1.1643465246338927e-14,2,0.11643465246338927
372,2028,-30,-30°,PLEnuM,4.497440008696783e-14,2,0.4497440008696783
373,2028,0,0°,IceCube extrapolated,2.1046297165002603e-14,2,0.21046297165002603
374,2028,0,0°,PLEnuM,1.8696556023712635e-14,2,0.18696556023712635
375,2028,30,30°,IceCube extrapolated,1.1505035823173324e-14,2,0.11505035823173325
376,2028,30,30°,PLEnuM,1.119471142583965e-14,2,0.1119471142583965
377,2029,-30,-30°,PLEnuM,3.802933874864617e-14,2,0.3802933874864617
378,2029,0,0°,IceCube extrapolated,2.0444338136922433e-14,2,0.20444338136922433
379,2029,0,0°,PLEnuM,1.7674867955458382e-14,2,0.17674867955458382
380,2029,30,30°,IceCube extrapolated,1.1168290817644482e-14,2,0.11168290817644481
381,2029,30,30°,PLEnuM,1.0792911189813581e-14,2,0.10792911189813581
382,2030,-30,-30°,PLEnuM,3.345609087262907e-14,2,0.3345609087262907
383,2030,0,0°,IceCube extrapolated,1.9890262518068627e-14,2,0.19890262518068627
384,2030,0,0°,PLEnuM,1.680015242458432e-14,2,0.1680015242458432
385,2030,30,30°,IceCube extrapolated,1.0858638845955648e-14,2,0.10858638845955648
386,2030,30,30°,PLEnuM,1.0430481116668588e-14,2,0.10430481116668588
387,2031,-30,-30°,PLEnuM,2.7283001789339584e-14,2,0.27283001789339584
388,2031,0,0°,IceCube extrapolated,1.9378101524558536e-14,2,0.19378101524558536
389,2031,0,0°,PLEnuM,1.5684546351573525e-14,2,0.15684546351573525
390,2031,30,30°,IceCube extrapolated,1.0572672186876356e-14,2,0.10572672186876357
391,2031,30,30°,PLEnuM,1.0059437494805818e-14,2,0.10059437494805819
392,2032,-30,-30°,PLEnuM,2.3547681147943147e-14,2,0.23547681147943147
393,2032,0,0°,IceCube extrapolated,1.8902877519562232e-14,2,0.18902877519562233
394,2032,0,0°,PLEnuM,1.476067945755689e-14,2,0.1476067945755689
395,2032,30,30°,IceCube extrapolated,1.0307523747784241e-14,2,0.10307523747784242
396,2032,30,30°,PLEnuM,9.724641073115713e-15,2,0.09724641073115713
397,2033,-30,-30°,PLEnuM,2.097886376308369e-14,2,0.2097886376308369
398,2033,0,0°,IceCube extrapolated,1.8460326897626036e-14,2,0.18460326897626037
399,2033,0,0°,PLEnuM,1.3979662747346455e-14,2,0.13979662747346455
400,2033,30,30°,IceCube extrapolated,1.0060841535830987e-14,2,0.10060841535830987
401,2033,30,30°,PLEnuM,9.420491038854934e-15,2,0.09420491038854935
402,2034,-30,-30°,PLEnuM,1.908965917890732e-14,2,0.1908965917890732
403,2034,0,0°,IceCube extrapolated,1.80469124650697e-14,2,0.180469124650697
404,2034,0,0°,PLEnuM,1.3308389976067715e-14,2,0.13308389976067714
405,2034,30,30°,IceCube extrapolated,9.830581223045593e-15,2,0.09830581223045594
406,2034,30,30°,PLEnuM,9.14270351374751e-15,2,0.0914270351374751
407,2035,-30,-30°,PLEnuM,1.7618152265469583e-14,2,0.17618152265469583
408,2035,0,0°,IceCube extrapolated,1.7659637737056668e-14,2,0.1765963773705667
409,2035,0,0°,PLEnuM,1.2723519219741724e-14,2,0.12723519219741725
410,2035,30,30°,IceCube extrapolated,9.615022724857049e-15,2,0.09615022724857049
411,2035,30,30°,PLEnuM,8.887669632183638e-15,2,0.08887669632183638
412,2036,-30,-30°,PLEnuM,1.592362114734554e-14,2,0.1592362114734554
413,2036,0,0°,IceCube extrapolated,1.729582904022997e-14,2,0.1729582904022997
414,2036,0,0°,PLEnuM,1.2037447798757888e-14,2,0.12037447798757889
415,2036,30,30°,IceCube extrapolated,9.412680374148326e-15,2,0.09412680374148326
416,2036,30,30°,PLEnuM,8.61932274219634e-15,2,0.08619322742196339
417,2037,-30,-30°,PLEnuM,1.463013287357653e-14,2,0.14630132873576532
418,2037,0,0°,IceCube extrapolated,1.6953244640549917e-14,2,0.16953244640549917
419,2037,0,0°,PLEnuM,1.1449764569777225e-14,2,0.11449764569777225
420,2037,30,30°,IceCube extrapolated,9.222265865028297e-15,2,0.09222265865028297
421,2037,30,30°,PLEnuM,8.373561267722703e-15,2,0.08373561267722703
422,2038,-30,-30°,PLEnuM,1.360194623621889e-14,2,0.1360194623621889
423,2038,0,0°,IceCube extrapolated,1.662991502718447e-14,2,0.1662991502718447
424,2038,0,0°,PLEnuM,1.093916767439771e-14,2,0.10939167674397711
425,2038,30,30°,IceCube extrapolated,9.042662529458484e-15,2,0.09042662529458484
426,2038,30,30°,PLEnuM,8.147337696932458e-15,2,0.08147337696932458
427,2039,-30,-30°,PLEnuM,1.2759819070949894e-14,2,0.12759819070949893
428,2039,0,0°,IceCube extrapolated,1.6324098496588083e-14,2,0.16324098496588083
429,2039,0,0°,PLEnuM,1.0490259073472986e-14,2,0.10490259073472986
430,2039,30,30°,IceCube extrapolated,8.872892172578752e-15,2,0.08872892172578753
431,2039,30,30°,PLEnuM,7.938245436170894e-15,2,0.07938245436170893
432,2040,-30,-30°,PLEnuM,1.2054017182651667e-14,2,0.12054017182651666
433,2040,0,0°,IceCube extrapolated,1.6034284708869997e-14,2,0.16034284708869997
434,2040,0,0°,PLEnuM,1.0091601305048135e-14,2,0.10091601305048135
435,2040,30,30°,IceCube extrapolated,8.712104141149102e-15,2,0.08712104141149102
436,2040,30,30°,PLEnuM,7.74422056701127e-15,2,0.0774422056701127
437,2041,-30,-30°,PLEnuM,1.145156990463888e-14,2,0.1145156990463888
438,2041,0,0°,IceCube extrapolated,1.5759136484586347e-14,2,0.15759136484586347
439,2041,0,0°,PLEnuM,9.328948402811541e-15,2,0.0932894840281154
440,2041,30,30°,IceCube extrapolated,8.559535990467124e-15,2,0.08559535990467124
441,2041,30,30°,PLEnuM,6.9680852983352156e-15,2,0.06968085298335215
442,2042,-30,-30°,PLEnuM,1.092964809202304e-14,2,0.1092964809202304
443,2042,0,0°,IceCube extrapolated,1.549746442777023e-14,2,0.15497464427770227
444,2042,0,0°,PLEnuM,8.714775321604554e-15,2,0.08714775321604554
445,2042,30,30°,IceCube extrapolated,8.414509069327119e-15,2,0.08414509069327118
446,2042,30,30°,PLEnuM,6.383263414732017e-15,2,0.06383263414732017
447,2043,-30,-30°,PLEnuM,1.0471888831043681e-14,2,0.10471888831043681
448,2043,0,0°,IceCube extrapolated,1.5248209209665258e-14,2,0.1524820920966526
449,2043,0,0°,PLEnuM,8.207344165702327e-15,2,0.08207344165702328
450,2043,30,30°,IceCube extrapolated,8.276444941835433e-15,2,0.08276444941835433
451,2043,30,30°,PLEnuM,5.922581468408505e-15,2,0.059225814684085054
452,2044,-30,-30°,PLEnuM,1.0066226977043451e-14,2,0.1006622697704345
453,2044,0,0°,IceCube extrapolated,1.5010422995105333e-14,2,0.15010422995105333
454,2044,0,0°,PLEnuM,7.778937812009785e-15,2,0.07778937812009785
455,2044,30,30°,IceCube extrapolated,8.144800382111682e-15,2,0.08144800382111682
456,2044,30,30°,PLEnuM,5.5477300327499746e-15,2,0.05547730032749974
457,2045,-30,-30°,PLEnuM,9.703532946916064e-15,2,0.09703532946916064
458,2045,0,0°,IceCube extrapolated,1.478326100996955e-14,2,0.1478326100996955
459,2045,0,0°,PLEnuM,7.411851644045955e-15,2,0.07411851644045955
460,2045,30,30°,IceCube extrapolated,8.019097544061755e-15,2,0.08019097544061755
461,2045,30,30°,PLEnuM,5.235128206207092e-15,2,0.05235128206207092
462,2046,-30,-30°,PLEnuM,9.3767672266512e-15,2,0.093767672266512
463,2046,0,0°,IceCube extrapolated,1.4565957249632377e-14,2,0.14565957249632377
464,2046,0,0°,PLEnuM,7.0914814115073045e-15,2,0.07091481411507304
465,2046,30,30°,IceCube extrapolated,7.898905745260138e-15,2,0.07898905745260139
466,2046,30,30°,PLEnuM,4.969351327976553e-15,2,0.049693513279765525
467,2047,-30,-30°,PLEnuM,9.080404011525718e-15,2,0.09080404011525718
468,2047,0,0°,IceCube extrapolated,1.4357824889521294e-14,2,0.14357824889521295
469,2047,0,0°,PLEnuM,6.809124372347969e-15,2,0.06809124372347969
470,2047,30,30°,IceCube extrapolated,7.783835526153726e-15,2,0.07783835526153726
471,2047,30,30°,PLEnuM,4.739843712053783e-15,2,0.04739843712053783
472,2048,-30,-30°,PLEnuM,8.810026625270985e-15,2,0.08810026625270985
473,2048,0,0°,IceCube extrapolated,1.4158236744800526e-14,2,0.14158236744800526
474,2048,0,0°,PLEnuM,6.557820333908524e-15,2,0.06557820333908523
475,2048,30,30°,IceCube extrapolated,7.673536689159129e-15,2,0.07673536689159129
476,2048,30,30°,PLEnuM,4.539009804859963e-15,2,0.045390098048599635
477,2049,-30,-30°,PLEnuM,8.562067409641761e-15,2,0.08562067409641762
478,2049,0,0°,IceCube extrapolated,1.3966630081378836e-14,2,0.13966630081378836
479,2049,0,0°,PLEnuM,6.332268660298218e-15,2,0.06332268660298218
480,2049,30,30°,IceCube extrapolated,7.567695273461546e-15,2,0.07567695273461547
481,2049,30,30°,PLEnuM,4.361413927933289e-15,2,0.043614139279332886
482,2050,-30,-30°,PLEnuM,8.333602318047248e-15,2,0.08333602318047248
483,2050,0,0°,IceCube extrapolated,1.3782488243595323e-14,2,0.13782488243595323
484,2050,0,0°,PLEnuM,6.1283638144871664e-15,2,0.061283638144871665
485,2050,30,30°,IceCube extrapolated,7.466014648556249e-15,2,0.07466014648556249
486,2050,30,30°,PLEnuM,4.202917927033562e-15,2,0.04202917927033562
487,2051,-30,-30°,PLEnuM,8.122234662596644e-15,2,0.08122234662596645
488,2051,0,0°,IceCube extrapolated,1.3605342162263948e-14,2,0.13605342162263948
489,2051,0,0°,PLEnuM,5.942846729343372e-15,2,0.059428467293433714
490,2051,30,30°,IceCube extrapolated,7.368238205001903e-15,2,0.07368238205001904
491,2051,30,30°,PLEnuM,4.060319771805347e-15,2,0.04060319771805347
492,2052,-30,-30°,PLEnuM,7.925937217147058e-15,2,0.07925937217147058
493,2052,0,0°,IceCube extrapolated,1.3434761879075488e-14,2,0.13434761879075488
494,2052,0,0°,PLEnuM,5.773141911288831e-15,2,0.05773141911288831
495,2052,30,30°,IceCube extrapolated,7.27412053508868e-15,2,0.0727412053508868
496,2052,30,30°,PLEnuM,3.931171393027471e-15,2,0.03931171393027471
497,2053,-30,-30°,PLEnuM,7.743011884984786e-15,2,0.07743011884984786
498,2053,0,0°,IceCube extrapolated,1.3270354902377538e-14,2,0.13270354902377537
499,2053,0,0°,PLEnuM,5.6170646617074174e-15,2,0.056170646617074174
500,2053,30,30°,IceCube extrapolated,7.183442378899157e-15,2,0.07183442378899156
501,2053,30,30°,PLEnuM,3.813463061860979e-15,2,0.03813463061860979
502,2054,-30,-30°,PLEnuM,7.572022451604847e-15,2,0.07572022451604847
503,2054,0,0°,IceCube extrapolated,1.3111757209800956e-14,2,0.13111757209800956
504,2054,0,0°,PLEnuM,5.472930361968828e-15,2,0.05472930361968828
505,2054,30,30°,IceCube extrapolated,7.0959994312629184e-15,2,0.07095999431262918
506,2054,30,30°,PLEnuM,3.705614540650221e-15,2,0.037056145406502206
