,Year,dec,dec_label,identifier,dp_flux,sigma,scaled_flux
182,2023,0,0°,PLEnuM,5.1105577570235474e-14,5,0.5110557757023547
183,2023,30,30°,IceCube extrapolated,2.8506579734588765e-14,5,0.28506579734588766
184,2023,30,30°,PLEnuM,2.8506579734588765e-14,5,0.28506579734588766
185,2024,0,0°,IceCube extrapolated,4.8991604690381785e-14,5,0.48991604690381785
186,2024,0,0°,PLEnuM,4.8991604690381785e-14,5,0.48991604690381785
187,2024,30,30°,IceCube extrapolated,2.7296624259430105e-14,5,0.272966242594301
188,2024,30,30°,PLEnuM,2.7296624259430105e-14,5,0.272966242594301
189,2025,0,0°,IceCube extrapolated,4.711110983973992e-14,5,0.4711110983973992
190,2025,0,0°,PLEnuM,4.711110983973992e-14,5,0.4711110983973992
191,2025,30,30°,IceCube extrapolated,2.6220799287936577e-14,5,0.26220799287936575
192,2025,30,30°,PLEnuM,2.6220799287936577e-14,5,0.26220799287936575
193,2026,-30,-30°,PLEnuM,2.008372689149123e-13,5,2.0083726891491227
194,2026,0,0°,IceCube extrapolated,4.542362949411514e-14,5,0.45423629494115136
195,2026,0,0°,PLEnuM,4.335672554031181e-14,5,0.43356725540311813
196,2026,30,30°,IceCube extrapolated,2.5256430697616763e-14,5,0.2525643069761676
197,2026,30,30°,PLEnuM,2.4975717717960005e-14,5,0.24975717717960005
198,2027,-30,-30°,PLEnuM,1.2673825367397638e-13,5,1.2673825367397638
199,2027,0,0°,IceCube extrapolated,4.38982798125888e-14,5,0.43898279812588803
200,2027,0,0°,PLEnuM,4.0335382384811897e-14,5,0.40335382384811896
201,2027,30,30°,IceCube extrapolated,2.4385830459123948e-14,5,0.24385830459123947
202,2027,30,30°,PLEnuM,2.3884960776691175e-14,5,0.23884960776691175
203,2028,-30,-30°,PLEnuM,9.786715857549873e-14,5,0.9786715857549872
204,2028,0,0°,IceCube extrapolated,4.251100396999068e-14,5,0.4251100396999068
205,2028,0,0°,PLEnuM,3.783963685565507e-14,5,0.37839636855655073
206,2028,30,30°,IceCube extrapolated,2.3594964943043308e-14,5,0.2359496494304331
207,2028,30,30°,PLEnuM,2.2919467069785384e-14,5,0.22919467069785385
208,2029,-30,-30°,PLEnuM,8.180855163678226e-14,5,0.8180855163678227
209,2029,0,0°,IceCube extrapolated,4.1242419102946363e-14,5,0.41242419102946365
210,2029,0,0°,PLEnuM,3.573525875176523e-14,5,0.3573525875176523
211,2029,30,30°,IceCube extrapolated,2.2872564997541843e-14,5,0.22872564997541844
212,2029,30,30°,PLEnuM,2.2057278281912108e-14,5,0.22057278281912107
213,2030,-30,-30°,PLEnuM,7.13474363392856e-14,5,0.7134743633928561
214,2030,0,0°,IceCube extrapolated,4.007673284717273e-14,5,0.4007673284717273
215,2030,0,0°,PLEnuM,3.3931129393541203e-14,5,0.33931129393541204
216,2030,30,30°,IceCube extrapolated,2.2209447973174323e-14,5,0.22209447973174323
217,2030,30,30°,PLEnuM,2.1281432357380934e-14,5,0.21281432357380933
218,2031,-30,-30°,PLEnuM,5.74383822935708e-14,5,0.5743838229357081
219,2031,0,0°,IceCube extrapolated,3.900092111427559e-14,5,0.39000921114275594
220,2031,0,0°,PLEnuM,3.163938570508255e-14,5,0.31639385705082546
221,2031,30,30°,IceCube extrapolated,2.1598054938596797e-14,5,0.21598054938596797
222,2031,30,30°,PLEnuM,2.0487852239739643e-14,5,0.20487852239739643
223,2032,-30,-30°,PLEnuM,4.914148280171005e-14,5,0.4914148280171005
224,2032,0,0°,IceCube extrapolated,3.800415889718085e-14,5,0.3800415889718085
225,2032,0,0°,PLEnuM,2.973890232775075e-14,5,0.2973890232775075
226,2032,30,30°,IceCube extrapolated,2.1032090625689128e-14,5,0.2103209062568913
227,2032,30,30°,PLEnuM,1.977354329350311e-14,5,0.1977354329350311
228,2033,-30,-30°,PLEnuM,4.3513399587581804e-14,5,0.435133995875818
229,2033,0,0°,IceCube extrapolated,3.707731284154637e-14,5,0.3707731284154637
230,2033,0,0°,PLEnuM,2.8131081917477425e-14,5,0.28131081917477424
231,2033,30,30°,IceCube extrapolated,2.0506297021125894e-14,5,0.20506297021125894
