,Source number density,Source number density numeric,width,Fraction of total flux,E2flux,Nsrc,luminosity,cumulative_Nsrc,log_flux,flux
0,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,0.0,0.0,9.930934710376449e+51,0.0,-3.5999999999999996,0.0002511886431509582
1,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-0.23489932885905773,0.0,9.930934710376449e+51,0.0,-3.8348993288590574,0.0001462516152068729
2,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-0.46979865771812257,0.0,9.930934710376449e+51,0.0,-4.069798657718122,8.51532723864601e-05
3,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-0.7046979865771803,0.0,9.930934710376449e+51,0.0,-4.30469798657718,4.9579485244427106e-05
4,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-0.9395973154362451,0.0,9.930934710376449e+51,0.0,-4.539597315436245,2.8867068618882372e-05
5,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-1.1744966442953029,0.0,9.930934710376449e+51,0.0,-4.7744966442953025,1.6807509124773407e-05
6,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-1.4093959731543606,0.0,9.930934710376449e+51,0.0,-5.00939597315436,9.785973307818268e-06
7,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-1.6442953020134254,0.0,9.930934710376449e+51,0.0,-5.244295302013425,5.697767162903216e-06
8,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-1.8791946308724832,0.0,9.930934710376449e+51,0.0,-5.479194630872483,3.3174575099976933e-06
9,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-2.114093959731548,0.0,9.930934710376449e+51,0.0,-5.714093959731548,1.9315503803479767e-06
10,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-2.3489932885906057,0.0,9.930934710376449e+51,0.0,-5.948993288590605,1.1246223532867697e-06
11,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-2.5838926174496635,0.0,9.930934710376449e+51,0.0,-6.183892617449663,6.547980577573222e-07
12,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-2.8187919463087283,0.0,9.930934710376449e+51,0.0,-6.418791946308728,3.812484210274486e-07
13,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-3.053691275167786,0.0,9.930934710376449e+51,0.0,-6.653691275167786,2.219773819026722e-07
14,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-3.2885906040268473,0.0,9.930934710376449e+51,0.0,-6.888590604026847,1.2924370399639455e-07
15,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-3.5234899328859086,0.0,9.930934710376449e+51,0.0,-7.123489932885908,7.525061733556093e-08
16,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-3.7583892617449663,0.0,9.930934710376449e+51,0.0,-7.358389261744966,4.3813781517287975e-08
17,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-3.9932885906040276,0.0,9.930934710376449e+51,0.0,-7.593288590604027,2.551005584823911e-08
18,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-4.228187919463089,0.0,9.930934710376449e+51,0.0,-7.828187919463089,1.4852928161964324e-08
19,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-4.463087248322147,0.0,9.930934710376449e+51,0.0,-8.063087248322146,8.647941670410052e-09
20,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-4.697986577181208,0.0,9.930934710376449e+51,0.0,-8.297986577181208,5.035161708135759e-09
21,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-4.932885906040269,0.0,9.930934710376449e+51,0.0,-8.532885906040269,2.9316633244445185e-09
22,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-5.1677852348993305,0.0,9.930934710376449e+51,0.0,-8.76778523489933,1.7069262808393908e-09
23,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-5.402684563758392,0.0,9.930934710376449e+51,0.0,-9.002684563758391,9.938376292824325e-10
24,$10^{-6}$ Mpc$^{-3}$,6,SC,1.0,-5.6375838926174495,0.0,9.930934710376449e+51,0.0,-9.23758389261745,5.786501997567348e-10
