Spectral index,fixed,ts,$-2\Delta$ LLH,nb,Flux normalization relative to baseline flux
2.45,Spectral index,4911.290457841236,5.602841707708649,1.0277756373417306,0.2014144387571665
2.491,Spectral index,4910.586730951026,4.89911481749823,1.0250906584884552,0.23935546089822898
2.532,Spectral index,4909.906857111655,4.219240978127345,1.022369088562816,0.28110811834936006
2.573,Spectral index,4909.258082884127,3.570466750599735,1.0196388341731681,0.32642574784877143
2.6140000000000003,Spectral index,4908.647360259181,2.9597441256537422,1.016912186746412,0.37496941960080776
2.6550000000000002,Spectral index,4908.081200131151,2.3935839976229545,1.0142150004833526,0.42626134793305537
2.696,Spectral index,4907.565531195398,1.877915061870226,1.0115667076891806,0.4797303149122042
2.737,Spectral index,4907.105571535105,1.4179554015772737,1.0089856223767173,0.5347406233606921
2.778,Spectral index,4906.705718890178,1.0181027566504781,1.0064852402236892,0.5905941853078102
2.819,Spectral index,4906.369464194182,0.6818480606543744,1.0040952419243152,0.646513036895003
2.8600000000000003,Spectral index,4906.099331676756,0.4117155432286381,1.00182545539024,0.7016637872444351
2.9010000000000002,Spectral index,4905.8968468552375,0.20923072170990054,0.9996851284644909,0.7553561399418921
2.942,Spectral index,4905.7625319425415,0.07491580901387351,0.9976891793399564,0.8068098739833067
2.983,Spectral index,4905.695927886914,0.008311753386806231,0.9958507698064303,0.8552754626430221
3.024,Spectral index,4905.695640004817,0.00802387128896953,0.9941668911912429,0.9001245701680849
3.065,Spectral index,4905.759403579463,0.0717874459351151,0.9926657538220154,0.9408592090110538
3.106,Spectral index,4905.884167481069,0.19655134754157189,0.9913271166713482,0.9768698590291982
3.1470000000000002,Spectral index,4906.066188182579,0.3785720490513995,0.9901696658761506,1.0079731268322352
3.188,Spectral index,4906.301135277071,0.6135191435432716,0.9891914310245453,1.033643599401271
3.229,Spectral index,4906.584200018793,0.8965838852654997,0.9883901722721942,1.0538201588078637
3.27,Spectral index,4906.910207188562,1.2225910550341723,0.9877693214166581,1.0682453413636317
3.311,Spectral index,4907.273726847519,1.5861107139917294,0.9873130771029964,1.0772449778821402
3.3520000000000003,Spectral index,4907.669182268543,1.9815661350157825,0.9870285705402637,1.0806884167486062
3.393,Spectral index,4908.09095481792,2.4033386843921107,0.9869167055801042,1.078632192297682
3.434,Spectral index,4908.533483669096,2.8458675355686864,0.9869514803427095,1.0717078853606705
3.475,Spectral index,4908.9913581297515,3.3037419962238346,0.9871306042867363,1.0600413651625722
3.516,Spectral index,4909.459403268602,3.7717871350741916,0.9874653185565477,1.0437643273945227
3.557,Spectral index,4909.932758601637,4.245142468109407,0.9879181146396501,1.0236891498471912
3.598,Spectral index,4910.406944783631,4.719328650103307,0.9884932286105385,1.000027828660807
3.6390000000000002,Spectral index,4910.877921149219,5.190305015691592,0.9891794226798707,0.9732502396366075
3.6799999999999997,Spectral index,4911.342129244607,5.654513111079723,0.9899605169674583,0.9439183140955008
3.721,Spectral index,4911.796521647836,6.10890551430839,0.9908184386083184,0.9125965425862066
3.762,Spectral index,4912.238574797454,6.550958663926394,0.9917541329194588,0.8794674381098099
3.803,Spectral index,4912.666284018527,6.978667884999595,0.9927403535446503,0.8452252554945988
3.8440000000000003,Spectral index,4913.078142966655,7.390526833127296,0.9937781645429987,0.8101022592547293
3.885,Spectral index,4913.473107713534,7.785491580006237,0.9948393257571019,0.7746445133662242
3.926,Spectral index,4913.850549924341,8.16293379081344,0.9959241670181022,0.7390683092761045
3.967,Spectral index,4914.210201546278,8.522585412750232,0.9970219670796785,0.7036988534639518
4.008,Spectral index,4914.552096194299,8.864480060771712,0.998124572682062,0.6687538276169077
4.0489999999999995,Spectral index,4914.876510506416,9.188894372888171,0.9992247337934331,0.6344459697620822
4.09,Spectral index,4915.183908654564,9.496292521036594,1.0003106842835343,0.6010042132192208
4.131,Spectral index,4915.474892471242,9.787276337714502,1.0013836058170469,0.5684947019782046
4.172,Spectral index,4915.750158209528,10.062542076000682,1.0024389869261634,0.5370264794452216
4.213,Spectral index,4916.010460644187,10.322844510659706,1.003471540212638,0.5066965449313537
4.254,Spectral index,4916.256584230287,10.568968096759818,1.0044820643210224,0.4775273835314578
4.295,Spectral index,4916.489320718505,10.801704584977415,1.0054668387899883,0.4495655137617074
4.336,Spectral index,4916.70945241759,11.021836284062374,1.0064293307080292,0.4228085076063466
4.377,Spectral index,4916.917740231956,11.23012409842795,1.0073624353151944,0.3972475969077276
4.418,Spectral index,4917.114915192564,11.427299059036159,1.0082754977746327,0.3729417258133227
4.459,Spectral index,4917.301673777611,11.614057644083005,1.009155535648606,0.34986177990044454
4.5,Spectral index,4917.478674176352,11.791058042824261,1.010021077534341,0.3278536016772344
2.5603033821140064,Flux normalization relative to baseline flux,4910.476471245006,4.7888551114783695,1.0320836103881694,0.2
2.589600993577775,Flux normalization relative to baseline flux,4909.985424174121,4.297808040593736,1.0302195311045625,0.22653061224489798
2.616662126173463,Flux normalization relative to baseline flux,4909.54291891918,3.855302785652384,1.028437823780735,0.25306122448979596
2.6418867976162375,Flux normalization relative to baseline flux,4909.141716173682,3.454100040154117,1.0267246018236917,0.2795918367346939
2.6655883275840613,Flux normalization relative to baseline flux,4908.776331895917,3.0887157623892563,1.0250666011854193,0.30612244897959184
2.6879846747600995,Flux normalization relative to baseline flux,4908.442502305306,2.7548861717787076,1.0234580752374702,0.3326530612244898
2.7092546187132087,Flux normalization relative to baseline flux,4908.136841281575,2.449225148046935,1.0218912636344855,0.3591836734693878
