,LLH,energy_res,ident,ts,conv,phi_astro,gamma,delta_ts
63,local,baseline,IceCube,-307069.62179140677,1.0302049994610156,0.5,3.1999999999999984,4.155562420026399
64,local,baseline,IceCube,-307069.2594653831,1.03043919098492,0.5,3.2499999999999982,4.51788844371913
65,local,baseline,IceCube,-307068.9161824524,1.0305408785043226,0.5,3.299999999999998,4.861171374388505
66,local,baseline,IceCube,-307068.5983705977,1.0305299745844907,0.5,3.349999999999998,5.178983229096048
67,local,baseline,IceCube,-307068.3102775389,1.0304054321385188,0.5,3.3999999999999977,5.467076287895907
68,local,baseline,IceCube,-307068.05446700455,1.030159551784064,0.5,3.4499999999999975,5.722886822244618
69,local,baseline,IceCube,-307067.8322016783,1.0297979219459132,0.5,3.4999999999999973,5.945152148487978
70,local,baseline,IceCube,-307067.64373830927,1.0293224936406928,0.5,3.549999999999997,6.13361551752314
71,local,baseline,IceCube,-307067.4885543274,1.0287286718430981,0.5,3.599999999999997,6.288799499394372
72,local,baseline,IceCube,-307067.36552053125,1.0280173211186907,0.5,3.649999999999997,6.4118332955404185
73,local,baseline,IceCube,-307067.2730303529,1.027184913933135,0.5,3.6999999999999966,6.504323473898694
74,local,baseline,IceCube,-307067.2090933775,1.0262226036188935,0.5,3.7499999999999964,6.56826044927584
75,local,baseline,IceCube,-307067.1713981025,1.0251406076562657,0.5,3.7999999999999963,6.6059557243133895
76,local,baseline,IceCube,-307067.1573470677,1.0239193807930056,0.5,3.849999999999996,6.620006759068929
77,local,baseline,IceCube,-307067.16406646644,1.0225654655386673,0.5,3.899999999999996,6.613287360349204
78,local,baseline,IceCube,-307067.1883917239,1.0210633572479788,0.5,3.9499999999999957,6.588962102890946
79,local,baseline,IceCube,-307068.6261648691,1.016166657196454,0.55,2.7,5.151188957679551
80,local,baseline,IceCube,-307070.1155126542,1.0180859270110483,0.55,2.75,3.661841172608547
81,local,baseline,IceCube,-307071.04973243584,1.0197860070222606,0.55,2.8,2.7276213909499347
82,local,baseline,IceCube,-307071.57495597797,1.0212741183621081,0.55,2.8499999999999996,2.2023978488286957
83,local,baseline,IceCube,-307071.80218263675,1.0225737258107495,0.55,2.8999999999999995,1.9751711900462396
84,local,baseline,IceCube,-307071.8158368455,1.0236965689534205,0.55,2.9499999999999993,1.9615169813041575
85,local,baseline,IceCube,-307071.68014305347,1.024650474909933,0.55,2.999999999999999,2.0972107733250596
86,local,baseline,IceCube,-307071.4439048093,1.0254435969720905,0.55,3.049999999999999,2.333449017489329
87,local,baseline,IceCube,-307071.14410807856,1.0260898267397376,0.55,3.0999999999999988,2.6332457482349128
88,local,baseline,IceCube,-307070.80865220167,1.0265919467607136,0.55,3.1499999999999986,2.968701625126414
89,local,baseline,IceCube,-307070.45842950046,1.026957181374406,0.55,3.1999999999999984,3.3189243263332173
90,local,baseline,IceCube,-307070.1089153433,1.0271836216830639,0.55,3.2499999999999982,3.6684384834952652
91,local,baseline,IceCube,-307069.77138824266,1.0272872118727636,0.55,3.299999999999998,4.005965584132355
92,local,baseline,IceCube,-307069.45386872784,1.0272577523947792,0.55,3.349999999999998,4.3234850989538245
93,local,baseline,IceCube,-307069.16184342594,1.0271062223626,0.55,3.3999999999999977,4.615510400850326
94,local,baseline,IceCube,-307068.8988241248,1.02682867871526,0.55,3.4499999999999975,4.878529702022206
95,local,baseline,IceCube,-307068.66677949834,1.026425955735959,0.55,3.4999999999999973,5.110574328457005
96,local,baseline,IceCube,-307068.4664679931,1.0258983780566584,0.55,3.549999999999997,5.310885833692737
97,local,baseline,IceCube,-307068.29769346886,1.025245775714703,0.55,3.599999999999997,5.4796603579306975
98,local,baseline,IceCube,-307068.15949981334,1.0244640761953865,0.55,3.649999999999997,5.617854013456963
99,local,baseline,IceCube,-307068.05031667824,1.0235558653276993,0.55,3.6999999999999966,5.727037148550153
100,local,baseline,IceCube,-307067.9680648631,1.0225075883175894,0.55,3.7499999999999964,5.809288963675499
101,local,baseline,IceCube,-307067.91022740176,1.0213220668547378,0.55,3.7999999999999963,5.86712642502971
102,local,baseline,IceCube,-307067.8738899156,1.0199965189603417,0.55,3.849999999999996,5.903463911206927
103,local,baseline,IceCube,-307067.8557524024,1.0185234308970201,0.55,3.899999999999996,5.92160142440116
104,local,baseline,IceCube,-307067.85211418953,1.0168899202750863,0.55,3.9499999999999957,5.925239637261257
105,local,baseline,IceCube,-307067.85899796366,1.01251141905909,0.6,2.7,5.918355863133911
106,local,baseline,IceCube,-307069.71997260326,1.0145200794211027,0.6,2.75,4.057381223537959
107,local,baseline,IceCube,-307070.94414066745,1.0162966693360016,0.6,2.8,2.8332131593488157
108,local,baseline,IceCube,-307071.69485267624,1.017857251909215,0.6,2.8499999999999996,2.082501150551252
109,local,baseline,IceCube,-307072.09658314614,1.0192115288001682,0.6,2.8999999999999995,1.680770680657588
110,local,baseline,IceCube,-307072.24434977456,1.0203856718361213,0.6,2.9499999999999993,1.5330040522385389
111,local,baseline,IceCube,-307072.2107373767,1.0213802250721908,0.6,2.999999999999999,1.5666164500871673
112,local,baseline,IceCube,-307072.0511692516,1.0222077847731714,0.6,3.049999999999999,1.7261845751781948
113,local,baseline,IceCube,-307071.8078860295,1.0228757035718223,0.6,3.0999999999999988,1.9694677973166108
114,local,baseline,IceCube,-307071.51296496496,1.0233936826259211,0.6,3.1499999999999986,2.2643888618331403
115,local,baseline,IceCube,-307071.1906218907,1.0237624265482717,0.6,3.1999999999999984,2.5867319360841066
116,local,baseline,IceCube,-307070.8589736057,1.0239924893767773,0.6,3.2499999999999982,2.9183802211191505
117,local,baseline,IceCube,-307070.5313919204,1.0240841627508466,0.6,3.299999999999998,3.245961906388402
118,local,baseline,IceCube,-307070.21754698915,1.0240399022451487,0.6,3.349999999999998,3.5598068376420997
119,local,baseline,IceCube,-307069.9242128233,1.0238582956307776,0.6,3.3999999999999977,3.8531410035211593
120,local,baseline,IceCube,-307069.6558899253,1.0235492790115694,0.6,3.4499999999999975,4.1214639014797285
121,local,baseline,IceCube,-307069.4152863554,1.0231049926551927,0.6,3.4999999999999973,4.362067471374758
