,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
58,2034,-30,-30°,Plenum-1,5.512123989763047e-20,3,5.512123989763047
59,2034,0,0°,IceCube,2.096804801577443e-20,3,2.096804801577443
60,2034,0,0°,Plenum-1,1.8106351951335762e-20,3,1.8106351951335762
61,2034,30,30°,IceCube,3.701576887242956e-20,3,3.7015768872429557
62,2034,30,30°,Plenum-1,2.8038705103014644e-20,3,2.8038705103014645
63,2035,-30,-30°,Plenum-1,4.9171851052014054e-20,3,4.917185105201406
64,2035,-30,-30°,Plenum-2,4.9171851052014054e-20,3,4.917185105201406
65,2035,0,0°,IceCube,2.027058862971027e-20,3,2.0270588629710273
66,2035,0,0°,Plenum-1,1.7277208087110715e-20,3,1.7277208087110716
67,2035,0,0°,Plenum-2,1.7277208087110715e-20,3,1.7277208087110716
68,2035,30,30°,IceCube,3.5977578647063397e-20,3,3.5977578647063395
69,2035,30,30°,Plenum-1,2.649793745201953e-20,3,2.649793745201953
70,2035,30,30°,Plenum-2,2.649793745201953e-20,3,2.649793745201953
71,2036,-30,-30°,Plenum-1,4.456295285354348e-20,3,4.456295285354348
72,2036,-30,-30°,Plenum-2,4.456295285354348e-20,3,4.456295285354348
73,2036,0,0°,IceCube,1.970837447262789e-20,3,1.970837447262789
74,2036,0,0°,Plenum-1,1.65137058468898e-20,3,1.6513705846889801
75,2036,0,0°,Plenum-2,1.4427942164215513e-20,3,1.4427942164215513
76,2036,30,30°,IceCube,3.500826593755454e-20,3,3.500826593755454
77,2036,30,30°,Plenum-1,2.5144012967210858e-20,3,2.514401296721086
78,2036,30,30°,Plenum-2,2.2714876346857426e-20,3,2.2714876346857427
79,2037,-30,-30°,Plenum-1,4.0872401791754044e-20,3,4.087240179175405
80,2037,-30,-30°,Plenum-2,4.0872401791754044e-20,3,4.087240179175405
81,2037,0,0°,IceCube,1.917973290357751e-20,3,1.917973290357751
82,2037,0,0°,Plenum-1,1.5835295794296596e-20,3,1.5835295794296596
