event_id,resolution_linefit,resolution_linefitNew,zenith_angle,zenith_linefit,muon_energy,aeffs
367,0.22876114557113544,52.208408047816334,49.643894003061895,49.722279196372064,11876.325168281957,449390304.2833759
368,1.4915379547376626,0.021699973309882454,78.8057309445356,79.83574782834772,49990.09984425311,1779580445.8940964
369,4.91280664230447,0.04962370230757389,80.4427324919117,80.37087490849723,1291.9555237181344,79990414.71434683
370,16.741142939508897,0.011693760158906153,90.8072153446559,96.05425061315799,685686.4667104036,23965707310.841286
371,11.838581512616653,0.007735515571577867,81.8333320243562,77.43235196705297,170223.56500027733,5975789596.048663
373,6.847381345982908,0.015358737441973268,144.11471846819018,149.33579934254263,132705.09572820432,4666375916.130468
374,16.04103353833306,0.0017920021410596542,76.03185025028687,67.29101393694846,245682.8583526329,8609357353.7312
376,2.237121435807519,0.014275127137872028,97.81038038404888,97.1059376363214,59832.08474024533,2123070729.7568567
377,36.890439598397954,0.01263673450904405,116.3037832390635,142.42772126523255,527095.9623605614,18430817963.546303
379,43.09892274028695,0.1162516329578138,78.64594230205091,111.3490529421739,293911.7960790418,10292571835.882004
380,13.827170280440304,0.026661535139318533,93.19597572003345,88.83705981106995,132503.69516622977,4659346933.975565
381,1.6830797915652629,0.024735573369552837,62.244710511613434,62.74306713396716,10081.69166662883,386756681.34787756
382,8.659260461494078,0.08223431469367179,152.04873478106884,154.0838880509927,39529.501988871394,1414500254.7852511
383,14.761874544704266,0.07498497160122128,123.49015793769448,134.71108128376832,28439.799191543083,1027463980.8971392
384,0.5111121436914443,83.68177245642661,59.57562196301842,59.95610251639342,114438.86294720955,4028875091.921525
385,31.385107237492576,0.017613173821308555,126.51256743511992,149.69215560751803,334606.14148882614,11712825209.986244
386,54.391978436346875,0.03964707601497819,85.09619313301205,80.44827193349654,150056.92617708235,5271963633.3856125
387,1.8940942252707895,0.012350401602409808,66.8950246084447,66.01233346564374,56597.63514954471,2010186792.2391326
388,1.3143117767463806,0.02138169401269395,82.44728706613479,81.46311969608654,9003.785661852618,349137212.9712574
390,1.9718261265418269,0.045556564664261,111.06120128645931,111.38362980431987,13247.073007674187,497230101.7869088
391,3.577244147028264,0.007114417162658808,110.6018916582485,109.50187218504536,193031.10741799124,6771784438.762004
392,1.5232961181987112,61.32066686198481,43.55710427422726,42.12347063477229,763367.3957851556,26676811286.36905
393,6.471636878709638,0.004826749262068444,132.54790885153713,138.87159116525476,33574.52755996936,1206668615.2740016
394,4.2031814662433895,0.15024657626126486,115.65337887060166,117.99052135889434,2470.1984186792056,121111691.64439563
395,4.5922604890243015,0.015651829886106274,98.47509135924793,98.0491909801444,129269.47213057746,4546470903.34438
396,1.1246010954873822,0.029916873516160156,114.31180078148859,113.31577359699398,47361.96520135878,1687857208.7567487
397,1.508533868222813,0.031318331404427656,134.56380630551195,135.70874962458342,49220.15304097858,1752708910.4456232
398,4.306813340901194,0.019890807560106766,120.61124028498446,124.71260669467065,308309.20445310307,10795048718.49823
399,2.32512072446705,0.03021237747107609,53.30950357523821,54.904231785615664,20305.488456069485,743572394.6894151
400,0.05804506168876768,25.649076124817654,24.14419077808553,24.15528975887589,988838.3795107018,34545863415.70536
401,4.696913475541341,0.07265954053585412,91.18518333893178,95.07591269677754,12696.753527788365,478023671.74674803
402,1.8198749160701013,0.05047884679256174,109.18578511724606,111.00331283858914,2040.636772226194,106119771.4742295
403,0.7123232343598905,0.02647272947852815,80.13345391190424,80.70971453616676,65611.99714220873,2324792615.396073
404,1.3562012669101977,0.01840721877759368,74.3431907478091,75.35675887603854,717143.3709649637,25063569285.43565
405,0.579159415833426,0.015523079222559683,96.75309069804406,97.16852280818175,109716.06863952312,3864047165.998443
406,1.43088159105984,0.030196862492904975,64.45222479233023,64.46298699215008,2762.587524361435,131316220.30101487
407,1.0433615561500804,0.006855640398483037,14.616191685091469,13.577740924854403,174823.03305196794,6136313372.846597
408,20.56564778570258,0.026238874087806282,56.288894212195366,53.54483307118764,10975.52841425719,417952038.93218404
