Spectral index,fixed,ts,$-2\Delta$ LLH,nb,Flux normalization relative to baseline flux
2.45,Spectral index,4844.418332535066,8.068881355128724,0.9755793659558307,0.16760330577260268
2.491,Spectral index,4843.782716684604,7.433265504666451,0.9731213553731184,0.20177436266736704
2.532,Spectral index,4843.1421053635195,6.792654183582272,0.9705890602989229,0.2399678206951399
2.573,Spectral index,4842.502232552799,6.152781372861682,0.9680007179689972,0.2820564879962173
2.6140000000000003,Spectral index,4841.86906448108,5.519613301143181,0.9653756099923383,0.32780036691302805
2.6550000000000002,Spectral index,4841.248651641427,4.899200461490182,0.9627328351411453,0.37684372042378167
2.696,Spectral index,4840.6469734964585,4.297522316521281,0.960092529447232,0.4287236539157382
2.737,Spectral index,4840.069784210218,3.7203330302809263,0.9574736757891902,0.48288629214377055
2.778,Spectral index,4839.522467061978,3.1730158820409997,0.9548936599405844,0.5386863227525129
2.819,Spectral index,4839.009903963524,2.6604527835870613,0.9523736006428604,0.5954445659237226
2.8600000000000003,Spectral index,4838.536365135517,2.1869139555801667,0.9499260510589527,0.6524007996149636
2.9010000000000002,Spectral index,4838.10542218718,1.755971007242806,0.947565130169641,0.7088325382151947
2.942,Spectral index,4837.719886662237,1.3704354822993992,0.9453088678954445,0.7639257803798378
2.983,Spectral index,4837.381774185308,1.0323230053709267,0.9431626191094304,0.8170355816762332
3.024,Spectral index,4837.0922938678,0.7428426878632308,0.9411341625344871,0.8674963364818928
3.065,Spectral index,4836.851860873815,0.5024096938777802,0.93923822589671,0.9146076550459202
3.106,Spectral index,4836.660129594363,0.31067841442563804,0.9374781509261843,0.9577911294473938
3.1470000000000002,Spectral index,4836.516044446641,0.16659326670378505,0.9358573257588386,0.9967812229911136
3.188,Spectral index,4836.4179057389765,0.06845455903930997,0.9343735681436578,1.0310852368570433
3.229,Spectral index,4836.363445231799,0.013994051862027845,0.9330418134412637,1.0603524974372918
3.27,Spectral index,4836.349910632948,0.0004594530109898187,0.9318476154368035,1.084489236206415
3.311,Spectral index,4836.374153742848,0.024702562910533743,0.9307986934668138,1.1034142294193807
3.3520000000000003,Spectral index,4836.432720935461,0.0832697555233608,0.9298847510090322,1.11712452711837
3.393,Spectral index,4836.5219429637455,0.1724917838082547,0.9291043278631483,1.1256854364496522
3.434,Spectral index,4836.638022443114,0.2885712631768911,0.9284539172965981,1.1292300741599328
3.475,Spectral index,4836.777117445621,0.42766626568391075,0.9279270496950415,1.127985218921478
3.516,Spectral index,4836.935419751726,0.585968571788726,0.9275161991612266,1.1222299061292362
3.557,Spectral index,4837.109226770075,0.759775590137906,0.9272149281778398,1.1122680547457962
3.598,Spectral index,4837.295006347602,0.9455551676646792,0.9269990300990367,1.0986135972417523
3.6390000000000002,Spectral index,4837.489451637725,1.140000457788119,0.9269021841030154,1.0812571881945867
3.6799999999999997,Spectral index,4837.689529911796,1.340078731858739,0.9268718329083907,1.0610145351861238
3.721,Spectral index,4837.8925162139385,1.5430650340013017,0.9269139290528257,1.0380748647645954
3.762,Spectral index,4838.096018970908,1.7465677909704027,0.9270241392602352,1.0128341715707587
3.803,Spectral index,4838.297992282484,1.9485411025470967,0.9271838962822262,0.9857500691091657
3.8440000000000003,Spectral index,4838.496736394723,2.14728521478537,0.9273896479079202,0.9571195338544118
3.885,Spectral index,4838.690887909436,2.341436729499037,0.9276104867562697,0.9275913607950091
3.926,Spectral index,4838.879395407486,2.5299442275490946,0.9278988986399047,0.8966797546616255
3.967,Spectral index,4839.061499178965,2.712047999028073,0.9281936441134805,0.8653925511653575
4.008,Spectral index,4839.2366895038485,2.8872383239113333,0.9284887220576638,0.8338785278543248
4.0489999999999995,Spectral index,4839.40467464042,3.055223460482921,0.9287990691837136,0.8022044127975817
4.09,Spectral index,4839.565342467864,3.215891287926752,0.9291174434236953,0.7705625706707474
4.131,Spectral index,4839.718725027484,3.3692738475465376,0.9294291833426863,0.7392175304890928
4.172,Spectral index,4839.864965781442,3.5155146015049468,0.9297410140132327,0.7082212879917958
4.213,Spectral index,4840.0042904469365,3.654839266999261,0.9300476438536394,0.6777108851727117
4.254,Spectral index,4840.136982272232,3.7875310922945573,0.9303472464435588,0.6477820228694562
4.295,Spectral index,4840.263361535579,3.9139103556417467,0.9306405385300657,0.6184972955576267
4.336,Spectral index,4840.383769124186,4.034317944248869,0.930922489948498,0.5899465654758335
4.377,Spectral index,4840.498553815352,4.149102635415147,0.9311964070870206,0.5621557560468707
4.418,Spectral index,4840.608062692569,4.258611512631433,0.9314607173470911,0.5351699789651988
4.459,Spectral index,4840.712634238368,4.363183058430877,0.9317169579939252,0.5090082930324098
4.5,Spectral index,4840.812593571866,4.463142391929068,0.9319633585344398,0.4837046253047382
2.6249570781209988,Flux normalization relative to baseline flux,4842.925919917392,6.5764687374548885,0.9772766744842551,0.2
2.664879450691748,Flux normalization relative to baseline flux,4842.341639555414,5.992188375476871,0.9752464328791609,0.2326530612244898
2.7014855835925293,Flux normalization relative to baseline flux,4841.809411959393,5.459960779456196,0.9733114550786078,0.2653061224489796
2.735603374189326,Flux normalization relative to baseline flux,4841.320584101948,4.971132922010838,0.9714605397111801,0.2979591836734694
2.767779852507857,Flux normalization relative to baseline flux,4840.86892308033,4.519471900393,0.9696656428837344,0.3306122448979592
2.798340035099181,Flux normalization relative to baseline flux,4840.449783444542,4.100332264604731,0.9679186763277506,0.363265306122449
2.827559294924683,Flux normalization relative to baseline flux,4840.059612261357,3.7101610814197556,0.9662204136310676,0.3959183673469388
