,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
40,2030,0,0°,Plenum-1,2.1092734452035684e-14,3,2.109273445203568
41,2030,30,30°,IceCube,1.4308129270228506e-14,3,1.4308129270228507
42,2030,30,30°,Plenum-1,1.3610303235729199e-14,3,1.36103032357292
43,2031,-30,-30°,Plenum-1,3.1091296890963485e-14,3,3.1091296890963487
44,2031,0,0°,IceCube,2.5535010855117008e-14,3,2.5535010855117006
45,2031,0,0°,Plenum-1,1.9794055935608107e-14,3,1.9794055935608108
46,2031,30,30°,IceCube,1.3928550596621275e-14,3,1.3928550596621274
47,2031,30,30°,Plenum-1,1.3128846818019583e-14,3,1.3128846818019584
48,2032,-30,-30°,Plenum-1,2.635687075018481e-14,3,2.635687075018481
49,2032,0,0°,IceCube,2.4904412720555927e-14,3,2.490441272055593
50,2032,0,0°,Plenum-1,1.8351278414370445e-14,3,1.8351278414370444
51,2032,30,30°,IceCube,1.3576558484328844e-14,3,1.3576558484328844
52,2032,30,30°,Plenum-1,1.2631245568790312e-14,3,1.2631245568790312
53,2033,-30,-30°,Plenum-1,2.323391836134937e-14,3,2.323391836134937
54,2033,0,0°,IceCube,2.4317170045598264e-14,3,2.431717004559826
55,2033,0,0°,Plenum-1,1.7176489678893957e-14,3,1.7176489678893958
56,2033,30,30°,IceCube,1.3249043087884284e-14,3,1.3249043087884285
57,2033,30,30°,Plenum-1,1.218487864264326e-14,3,1.218487864264326
58,2034,-30,-30°,Plenum-1,2.0981048206606527e-14,3,2.0981048206606525
59,2034,0,0°,IceCube,2.376687069869327e-14,3,2.3766870698693268
60,2034,0,0°,Plenum-1,1.619645379135977e-14,3,1.619645379135977
61,2034,30,30°,IceCube,1.2943315128603881e-14,3,1.294331512860388
62,2034,30,30°,Plenum-1,1.1781678713890828e-14,3,1.1781678713890829
63,2035,-30,-30°,Plenum-1,1.9260844011984035e-14,3,1.9260844011984035
64,2035,-30,-30°,Plenum-2,1.9260844011984035e-14,3,1.9260844011984035
65,2035,0,0°,IceCube,2.3254183717751822e-14,3,2.325418371775182
66,2035,0,0°,Plenum-1,1.536310991365012e-14,3,1.536310991365012
67,2035,0,0°,Plenum-2,1.536310991365012e-14,3,1.536310991365012
68,2035,30,30°,IceCube,1.2657090335014585e-14,3,1.2657090335014585
69,2035,30,30°,Plenum-1,1.1415115515616528e-14,3,1.1415115515616527
70,2035,30,30°,Plenum-2,1.1415115515616528e-14,3,1.1415115515616527
71,2036,-30,-30°,Plenum-1,1.7893562271137096e-14,3,1.7893562271137096
72,2036,-30,-30°,Plenum-2,1.7893562271137096e-14,3,1.7893562271137096
73,2036,0,0°,IceCube,2.2771714870455115e-14,3,2.2771714870455115
74,2036,0,0°,Plenum-1,1.4643431121517398e-14,3,1.4643431121517398
75,2036,0,0°,Plenum-2,1.3852070206673645e-14,3,1.3852070206673646
76,2036,30,30°,IceCube,1.2388404193584264e-14,3,1.2388404193584264
77,2036,30,30°,Plenum-1,1.1079963725178853e-14,3,1.1079963725178854
78,2036,30,30°,Plenum-2,1.0022830941851582e-14,3,1.0022830941851582
79,2037,-30,-30°,Plenum-1,1.6773981798115017e-14,3,1.6773981798115016
80,2037,-30,-30°,Plenum-2,1.6773981798115017e-14,3,1.6773981798115016
81,2037,0,0°,IceCube,2.2317031713049622e-14,3,2.231703171304962
82,2037,0,0°,Plenum-1,1.4013938230073122e-14,3,1.4013938230073122
83,2037,0,0°,Plenum-2,1.2707896669317675e-14,3,1.2707896669317675
84,2037,30,30°,IceCube,1.2135563178771702e-14,3,1.2135563178771702
85,2037,30,30°,Plenum-1,1.0772049201142712e-14,3,1.0772049201142713
86,2037,30,30°,Plenum-2,9.031272254883754e-15,3,0.9031272254883754
87,2038,-30,-30°,Plenum-1,1.5835967272114943e-14,3,1.5835967272114944
88,2038,-30,-30°,Plenum-2,1.5835967272114943e-14,3,1.5835967272114944
89,2038,0,0°,IceCube,2.1887898301125643e-14,3,2.1887898301125643
90,2038,0,0°,Plenum-1,1.3457382736674001e-14,3,1.3457382736674002
91,2038,0,0°,Plenum-2,1.1804189310708273e-14,3,1.1804189310708273
92,2038,30,30°,IceCube,1.1897073791584069e-14,3,1.189707379158407
93,2038,30,30°,Plenum-1,1.0487835636581244e-14,3,1.0487835636581244
94,2038,30,30°,Plenum-2,8.280116361823555e-15,3,0.8280116361823554
95,2039,-30,-30°,Plenum-1,1.5035627303687385e-14,3,1.5035627303687384
96,2039,-30,-30°,Plenum-2,1.5035627303687385e-14,3,1.5035627303687384
97,2039,0,0°,IceCube,2.1482024655737938e-14,3,2.1482024655737937
98,2039,0,0°,Plenum-1,1.2961683160000687e-14,3,1.2961683160000688
99,2039,0,0°,Plenum-2,1.1068286045275043e-14,3,1.1068286045275044
100,2039,30,30°,IceCube,1.1671653854994316e-14,3,1.1671653854994315
101,2039,30,30°,Plenum-1,1.0224484487938243e-14,3,1.0224484487938243
102,2039,30,30°,Plenum-2,7.686264073088913e-15,3,0.7686264073088913
103,2040,-30,-30°,Plenum-1,1.434254518051387e-14,3,1.434254518051387
104,2040,-30,-30°,Plenum-2,1.434254518051387e-14,3,1.434254518051387
105,2040,-30,-30°,Plenum-3,1.434254518051387e-14,3,1.434254518051387
106,2040,0,0°,IceCube,2.1097401492027252e-14,3,2.1097401492027252
107,2040,0,0°,Plenum-1,1.2514791839265866e-14,3,1.2514791839265866
108,2040,0,0°,Plenum-2,1.0452777753609404e-14,3,1.0452777753609404
109,2040,0,0°,Plenum-3,1.0452777753609404e-14,3,1.0452777753609404
110,2040,30,30°,IceCube,1.1458160502628662e-14,3,1.1458160502628663
111,2040,30,30°,Plenum-1,9.979580925741305e-15,3,0.9979580925741305
112,2040,30,30°,Plenum-2,7.201850722090294e-15,3,0.7201850722090294
113,2040,30,30°,Plenum-3,7.201850722090294e-15,3,0.7201850722090294
