ns,gamma,ts,delta_ts,nb
0.12589254117941673,2.45,4844.451363762962,8.101912611374246,0.9738351600112664
0.1344532884299761,2.45,4844.527260258712,8.17780910712463,0.9724065514809702
0.14359617019622145,2.45,4844.653798409817,8.304347258229427,0.9709068461115875
0.15336077187700115,2.45,4844.8377953807485,8.488344229161157,0.9693330218827136
0.16378937069540642,2.45,4845.086772500827,8.73732134923921,0.9676820195362488
0.17492711874398423,2.45,4845.409017429186,9.059566277598606,0.9659508854941661
0.18682223847710366,2.45,4845.8136511169705,9.464199965383159,0.964136180901173
0.19952623149688792,2.45,4846.310699894891,9.961248743303258,0.9622345469101653
0.21309410153667965,2.45,4846.9111730334025,10.561721881815174,0.9602426133446876
0.22758459260747882,2.45,4847.627146143623,11.277694992035322,0.9581566446504347
0.2430604433384409,2.45,4848.471850810314,12.122399658726863,0.9559733004266597
0.2595886586126394,2.45,4849.45977087111,13.110319719522522,0.953688909232656
0.2772407996741774,2.45,4850.606745784648,14.257294633061065,0.9512993561764551
0.29609329396270834,2.45,4851.930081557237,15.580630405649572,0.9488007973958865
0.31622776601683794,2.45,4853.448669730178,17.099218578590808,0.946189192811364
0.3377313908791009,2.45,4855.183114963903,18.833663812315535,0.943460305400758
0.36069727153262904,2.45,4857.155871792458,20.806420640870783,0.9406098214758633
0.3852248420036752,2.45,4859.391391162646,23.041940011058614,0.9376333772167948
0.4114202978752841,2.45,4861.9162774162905,25.566826264703195,0.9345263594186933
0.43939705607607904,2.45,4864.759456421934,28.41000527034703,0.9312840147484341
0.4692762459348837,2.45,4867.952355613922,31.602904462334664,0.9279016813188934
0.5011872336272722,2.45,4871.5290967524425,35.17964560085511,0.9243742303907349
0.5352681822847104,2.45,4875.526702277546,39.17725112595872,0.920696584512147
0.5716666501913615,2.45,4879.985316194139,43.63586504255181,0.9168634065392013
0.6105402296585328,2.45,4884.948440492861,48.59898934127341,0.9128693058198396
0.6520572293428615,2.45,4890.463188184276,54.11373703268873,0.9087085755673455
0.6963974029624319,2.45,4896.580554100868,60.231102949280285,0.904375522371032
0.7437527275659044,2.45,4903.355704703103,67.00625355151533,0.8998640523966615
0.7943282347242813,2.45,4910.848288212622,74.49883706103446,0.8951680134038235
0.8483428982440718,2.45,4919.122766487595,82.77331533600773,0.8902809690734035
0.9060305822453375,2.45,4928.248770152824,91.89931900123702,0.8851964387200147
0.9676410537094534,2.45,4938.30147860066,101.95202744907238,0.879907566958443
1.033441063880556,2.45,4949.362026588493,113.01257543690554,0.8744073166779057
1.1037155032027572,2.45,4961.51793927528,125.16848812369244,0.8686883176806542
1.178768634793587,2.45,4974.863597663536,138.51414651194864,0.8627431491932901
1.258925411794167,2.45,4989.50073654522,153.15128539363286,0.856563954799717
1.3445328842997606,2.45,5005.538977190765,169.1895260391775,0.8501428364295266
1.4359617019622148,2.45,5023.096397170775,186.74694601918782,0.8434713981092942
1.5336077187700112,2.45,5042.30013986047,205.9506887088828,0.8365409705316353
1.6378937069540642,2.45,5063.287066348876,226.93761519728832,0.82934287484432
1.749271187439842,2.45,5086.204452658803,249.855001507216,0.8218676640195274
1.868222384771037,2.45,5111.2107353806405,274.8612842290531,0.8141059234934093
1.9952623149688795,2.45,5138.47630903446,302.1268578828731,0.8060477038594467
2.130941015366796,2.45,5168.184378701117,331.8349275495293,0.7976829994983382
2.2758459260747883,2.45,5200.531871705784,364.18242055419705,0.7890013117413534
2.430604433384408,2.45,5235.730412396069,399.380961244482,0.7799910541065777
2.595886586126394,2.45,5274.00736433772,437.65791318613265,0.7706412951391735
2.7724079967417734,2.45,5315.606944543095,479.2574933915075,0.7609402641133839
2.9609329396270834,2.45,5360.791414671098,524.4419635195109,0.7508756509628717
3.162277660168379,2.45,5409.842354473778,573.4929033221906,0.7404348012861409
0.12589254117941673,2.491,4843.827523011737,7.478071860149612,0.9752418250078586
0.1344532884299761,2.491,4843.788333314756,7.438882163168273,0.9738733122761999
0.14359617019622145,2.491,4843.787376466425,7.43792531483723,0.9724356046915498
0.15336077187700115,2.491,4843.830340072798,7.4808889212108625,0.9709256664206235
0.16378937069540642,2.491,4843.923524795133,7.574073643545489,0.9693404693713492
0.17492711874398423,2.491,4844.073899966685,7.724448815097276,0.9676769304293524
0.18682223847710366,2.491,4844.2891635731185,7.939712421531112,0.9659317208248405
0.19952623149688792,2.491,4844.577806900118,8.228355748530703,0.9641015697999017
0.21309410153667965,2.491,4844.949184169828,8.59973301824084,0.9621830469278242
0.22758459260747882,2.491,4845.413587507748,9.064136356160816,0.9601726062452205
0.2430604433384409,2.491,4845.982327602187,9.632876450599724,0.9580663162492321
0.2595886586126394,2.491,4846.667820441337,10.31836928975008,0.9558610079633246
0.2772407996741774,2.491,4847.483680535526,11.134229383938873,0.9535525276658319
0.29609329396270834,2.491,4848.444821060623,12.09536990903598,0.9511369617856739
0.31622776601683794,2.491,4849.567561384407,13.218110232819527,0.9486101782958842
0.3377313908791009,2.491,4850.869742469573,14.520291317985539,0.9459681179428698
0.36069727153262904,2.491,4852.370850679879,16.021399528292022,0.9432062436083601
0.3852248420036752,2.491,4854.09215055205,17.742699400462698,0.9403204138022199
0.4114202978752841,2.491,4856.056827135179,19.7073759835921,0.9373058377987463
0.43939705607607904,2.491,4858.290138541797,21.94068739020986,0.9341579828521414
0.4692762459348837,2.491,4860.819579400674,24.470128249086883,0.9308718941255327
0.5011872336272722,2.491,4863.675055950776,27.325604799189023,0.9274426800920639
0.5352681822847104,2.491,4866.889073569154,30.539622417566534,0.9238651503107302
