ns,gamma,ts,delta_ts,nb
0.12589254117941673,2.45,4844.708329473782,8.35887829384501,0.9806948656867683
0.1344532884299761,2.45,4844.598207497335,8.248756317398147,0.9796159842265264
0.14359617019622145,2.45,4844.510930072741,8.161478892803643,0.9784810423395431
0.15336077187700115,2.45,4844.4503078968555,8.100856716918315,0.9772876614173959
0.16378937069540642,2.45,4844.420581167894,8.071129987956738,0.9760332541486266
0.17492711874398423,2.45,4844.426460003853,8.077008823916003,0.9747151699723963
0.18682223847710366,2.45,4844.473168127046,8.123716947108733,0.9733306381009903
0.19952623149688792,2.45,4844.566490050047,8.217038870109718,0.9718768824417646
0.21309410153667965,2.45,4844.71282201302,8.363370833082627,0.970350923886212
0.22758459260747882,2.45,4844.9192269380255,8.569775758088326,0.9687498170399698
0.2430604433384409,2.45,4845.193493681672,8.844042501735203,0.9670704392141234
0.2595886586126394,2.45,4845.544200884608,9.194749704670357,0.9653096177272837
0.2772407996741774,2.45,4845.98078573374,9.631334553802844,0.9634640645107918
0.29609329396270834,2.45,4846.5136179721085,10.164166792171272,0.9615305553020327
0.31622776601683794,2.45,4847.154079510726,10.804628330788546,0.9595053875636289
0.3377313908791009,2.45,4847.914650019244,11.565198839306504,0.957384789135009
0.36069727153262904,2.45,4848.808998894396,12.459547714458495,0.9551656309424518
0.3852248420036752,2.45,4849.852084029723,13.502632849786096,0.952843862295025
0.4114202978752841,2.45,4851.060257839881,14.710806659943955,0.950415716142562
0.43939705607607904,2.45,4852.451381019591,16.101929839654076,0.9478771330129935
0.4692762459348837,2.45,4854.044944551502,17.695493371565135,0.9452238698799568
0.5011872336272722,2.45,4855.862200512158,19.512749332220665,0.9424518864995906
0.5352681822847104,2.45,4857.9263022638725,21.576851083935253,0.9395567330778377
0.5716666501913615,2.45,4860.262454662164,23.913003482226486,0.9365339851707563
0.6105402296585328,2.45,4862.898074954042,26.54862377410518,0.9333789674190981
0.6520572293428615,2.45,4865.862965091486,29.513513911549126,0.9300870610408111
0.6963974029624319,2.45,4869.189496237583,32.84004505764551,0.9266532023758536
0.7437527275659044,2.45,4872.912806299744,36.563355119807056,0.9230724758921668
0.7943282347242813,2.45,4877.071011385493,40.72156020555576,0.9193396265384183
0.8483428982440718,2.45,4881.705432141696,45.35598096175909,0.9154492781252304
0.9060305822453375,2.45,4886.860836007603,50.51138482766601,0.9113961077404452
0.9676410537094534,2.45,4892.585696486317,56.236245306379715,0.9071742801752511
1.033441063880556,2.45,4898.93247061786,62.58301943792321,0.9027778810905724
1.1037155032027572,2.45,4905.957895920755,69.6084447408175,0.8982008923631292
1.178768634793587,2.45,4913.723308157485,77.3738569775478,0.8934370807766302
1.258925411794167,2.45,4922.294981373254,85.9455301933167,0.8884800390702643
1.3445328842997606,2.45,4931.74449175704,95.39504057710292,0.883322964544352
1.4359617019622148,2.45,4942.1491069795875,105.79965579965028,0.8779590345041285
1.5336077187700112,2.45,4953.592202775202,117.24275159526496,0.8723811558714083
1.6378937069540642,2.45,4966.1637086533465,129.81425747340927,0.8665818675836121
1.749271187439842,2.45,4979.960584752892,143.6111335729547,0.8605536859009841
1.868222384771037,2.45,4995.0873319869415,158.73788080700433,0.8542886773222426
1.9952623149688795,2.45,5011.656537770209,175.30708659027187,0.8477787062266688
2.130941015366796,2.45,5029.789459774875,193.44000859493735,0.8410153788369842
2.2758459260747883,2.45,5049.616650325338,213.2671991454008,0.8339899377366254
2.430604433384408,2.45,5071.278624218413,234.9291730384757,0.8266934396771632
2.595886586126394,2.45,5094.926572944136,258.57712176419864,0.8191165250800208
2.7724079967417734,2.45,5120.723128484404,284.3736773044666,0.8112496996780022
2.9609329396270834,2.45,5148.843180083298,312.49372890336053,0.8030826546299941
3.162277660168379,2.45,5179.474747615038,343.1252964351006,0.7946057429152102
0.12589254117941673,2.491,4844.546936919191,8.197485739253352,0.9817963948769565
0.1344532884299761,2.491,4844.374320704744,8.02486952480649,0.9807673900191911
0.14359617019622145,2.491,4844.21707797295,7.867626793013187,0.9796842233810509
0.15336077187700115,2.491,4844.078299491488,7.7288483115507915,0.9785443636261814
0.16378937069540642,2.491,4843.961444326662,7.6119931467246715,0.9773452270042257
0.17492711874398423,2.491,4843.870375736342,7.52092455640468,0.9760842359833014
0.18682223847710366,2.491,4843.809400020291,7.459948840353718,0.9747586563758004
0.19952623149688792,2.491,4843.783308542421,7.43385736248365,0.973365673168341
0.21309410153667965,2.491,4843.797423153657,7.447971973720087,0.9719023972429793
0.22758459260747882,2.491,4843.857645258915,7.508194078977795,0.9703657560539354
0.2430604433384409,2.491,4843.970508787323,7.62105760738541,0.9687528840955334
0.2595886586126394,2.491,4844.143237340562,7.793786160625132,0.9670604149071044
0.2772407996741774,2.491,4844.383805811909,8.034354631971837,0.9652850636783276
0.29609329396270834,2.491,4844.701006785573,8.35155560563544,0.9634236568578104
0.31622776601683794,2.491,4845.10452204498,8.755070865042399,0.9614725492180959
0.3377313908791009,2.491,4845.604999539286,9.255548359348722,0.9594282775705382
0.36069727153262904,2.491,4846.214136177405,9.86468499746752,0.9572867719454221
0.3852248420036752,2.491,4846.9447668437715,10.595315663834299,0.9550448695594244
0.4114202978752841,2.491,4847.8109600517555,11.461508871818296,0.9526984292738228
0.43939705607607904,2.491,4848.828120681128,12.47866950119078,0.9502434742104354
0.4692762459348837,2.491,4850.013100271719,13.663649091781735,0.9476758122554306
0.5011872336272722,2.491,4851.384315378675,15.034864198737523,0.9449912240524582
0.5352681822847104,2.491,4852.961874528377,16.612423348439734,0.9421855018648534
