,Local source density,width,Fraction of total flux,E2flux,Nsrc,cumulative_Nsrc,flux
66,$10^{-6}$/Mpc$^3$,SC,1.0,-15.503355704697988,1578070.5603422513,5841589.668926642,-19.10335570469799
67,$10^{-6}$/Mpc$^3$,SC,1.0,-15.738255033557046,1618767.5837978765,7460357.252724519,-19.338255033557047
68,$10^{-6}$/Mpc$^3$,SC,1.0,-15.973154362416107,1492096.6108638677,8952453.863588387,-19.573154362416105
69,$10^{-6}$/Mpc$^3$,SC,1.0,-16.20805369127517,1257206.8254293876,10209660.689017775,-19.80805369127517
70,$10^{-6}$/Mpc$^3$,SC,1.0,-16.44295302013423,990840.9382133232,11200501.627231097,-20.042953020134227
71,$10^{-6}$/Mpc$^3$,SC,1.0,-16.67785234899329,744363.2015105602,11944864.828741658,-20.277852348993292
72,$10^{-6}$/Mpc$^3$,SC,1.0,-16.91275167785235,540426.2158531384,12485291.044594796,-20.51275167785235
73,$10^{-6}$/Mpc$^3$,SC,1.0,-17.14765100671141,380827.2119001631,12866118.25649496,-20.747651006711408
74,$10^{-6}$/Mpc$^3$,SC,1.0,-17.38255033557047,262469.94467975426,13128588.201174714,-20.982550335570473
75,$10^{-6}$/Mpc$^3$,SC,1.0,-17.61744966442953,165180.24142619252,13293768.442600906,-21.21744966442953
76,$10^{-6}$/Mpc$^3$,SC,1.0,-17.85234899328859,0.0,13293768.442600906,-21.452348993288588
77,$10^{-6}$/Mpc$^3$,SC,1.0,-18.08724832214765,0.0,13293768.442600906,-21.687248322147653
78,$10^{-6}$/Mpc$^3$,SC,1.0,-18.322147651006713,0.0,13293768.442600906,-21.92214765100671
79,$10^{-6}$/Mpc$^3$,SC,1.0,-18.557046979865774,0.0,13293768.442600906,-22.157046979865775
80,$10^{-6}$/Mpc$^3$,SC,1.0,-18.79194630872483,0.0,13293768.442600906,-22.391946308724833
81,$10^{-6}$/Mpc$^3$,SC,1.0,-19.026845637583893,0.0,13293768.442600906,-22.62684563758389
82,$10^{-6}$/Mpc$^3$,SC,1.0,-19.261744966442954,0.0,13293768.442600906,-22.861744966442956
83,$10^{-6}$/Mpc$^3$,SC,1.0,-19.496644295302012,0.0,13293768.442600906,-23.096644295302013
84,$10^{-6}$/Mpc$^3$,SC,1.0,-19.731543624161073,0.0,13293768.442600906,-23.33154362416107
85,$10^{-6}$/Mpc$^3$,SC,1.0,-19.966442953020135,0.0,13293768.442600906,-23.566442953020136
86,$10^{-6}$/Mpc$^3$,SC,1.0,-20.201342281879196,0.0,13293768.442600906,-23.801342281879194
87,$10^{-6}$/Mpc$^3$,SC,1.0,-20.436241610738257,0.0,13293768.442600906,-24.03624161073826
88,$10^{-6}$/Mpc$^3$,SC,1.0,-20.671140939597315,0.0,13293768.442600906,-24.271140939597316
89,$10^{-6}$/Mpc$^3$,SC,1.0,-20.906040268456376,0.0,13293768.442600906,-24.506040268456374
90,$10^{-6}$/Mpc$^3$,SC,1.0,-21.140939597315437,0.0,13293768.442600906,-24.74093959731544
91,$10^{-6}$/Mpc$^3$,SC,1.0,-21.375838926174495,0.0,13293768.442600906,-24.975838926174497
92,$10^{-6}$/Mpc$^3$,SC,1.0,-21.610738255033556,0.0,13293768.442600906,-25.210738255033554
93,$10^{-6}$/Mpc$^3$,SC,1.0,-21.845637583892618,0.0,13293768.442600906,-25.44563758389262
94,$10^{-6}$/Mpc$^3$,SC,1.0,-22.08053691275168,0.0,13293768.442600906,-25.680536912751684
95,$10^{-6}$/Mpc$^3$,SC,1.0,-22.31543624161074,0.0,13293768.442600906,-25.91543624161074
96,$10^{-6}$/Mpc$^3$,SC,1.0,-22.550335570469798,0.0,13293768.442600906,-26.1503355704698
97,$10^{-6}$/Mpc$^3$,SC,1.0,-22.78523489932886,0.0,13293768.442600906,-26.385234899328857
98,$10^{-6}$/Mpc$^3$,SC,1.0,-23.02013422818792,0.0,13293768.442600906,-26.620134228187922
99,$10^{-6}$/Mpc$^3$,SC,1.0,-23.25503355704698,0.0,13293768.442600906,-26.85503355704698
100,$10^{-6}$/Mpc$^3$,SC,1.0,-23.48993288590604,0.0,13293768.442600906,-27.089932885906045
101,$10^{-6}$/Mpc$^3$,SC,1.0,-23.7248322147651,0.0,13293768.442600906,-27.324832214765102
102,$10^{-6}$/Mpc$^3$,SC,1.0,-23.959731543624162,0.0,13293768.442600906,-27.55973154362416
103,$10^{-6}$/Mpc$^3$,SC,1.0,-24.194630872483224,0.0,13293768.442600906,-27.794630872483225
104,$10^{-6}$/Mpc$^3$,SC,1.0,-24.42953020134228,0.0,13293768.442600906,-28.029530201342283
105,$10^{-6}$/Mpc$^3$,SC,1.0,-24.664429530201343,0.0,13293768.442600906,-28.264429530201348
106,$10^{-6}$/Mpc$^3$,SC,1.0,-24.899328859060404,0.0,13293768.442600906,-28.499328859060405
107,$10^{-6}$/Mpc$^3$,SC,1.0,-25.13422818791946,0.0,13293768.442600906,-28.734228187919463
108,$10^{-6}$/Mpc$^3$,SC,1.0,-25.369127516778523,0.0,13293768.442600906,-28.96912751677852
109,$10^{-6}$/Mpc$^3$,SC,1.0,-25.604026845637584,0.0,13293768.442600906,-29.204026845637586
110,$10^{-6}$/Mpc$^3$,SC,1.0,-25.838926174496645,0.0,13293768.442600906,-29.43892617449665
111,$10^{-6}$/Mpc$^3$,SC,1.0,-26.073825503355707,0.0,13293768.442600906,-29.673825503355708
112,$10^{-6}$/Mpc$^3$,SC,1.0,-26.308724832214764,0.0,13293768.442600906,-29.908724832214766
113,$10^{-6}$/Mpc$^3$,SC,1.0,-26.543624161073826,0.0,13293768.442600906,-30.143624161073824
114,$10^{-6}$/Mpc$^3$,SC,1.0,-26.778523489932887,0.0,13293768.442600906,-30.37852348993289
115,$10^{-6}$/Mpc$^3$,SC,1.0,-27.013422818791945,0.0,13293768.442600906,-30.613422818791946
116,$10^{-6}$/Mpc$^3$,SC,1.0,-27.248322147651006,0.0,13293768.442600906,-30.84832214765101
117,$10^{-6}$/Mpc$^3$,SC,1.0,-27.483221476510067,0.0,13293768.442600906,-31.08322147651007
118,$10^{-6}$/Mpc$^3$,SC,1.0,-27.71812080536913,0.0,13293768.442600906,-31.318120805369126
119,$10^{-6}$/Mpc$^3$,SC,1.0,-27.95302013422819,0.0,13293768.442600906,-31.55302013422819
120,$10^{-6}$/Mpc$^3$,SC,1.0,-28.187919463087248,0.0,13293768.442600906,-31.78791946308725
121,$10^{-6}$/Mpc$^3$,SC,1.0,-28.42281879194631,0.0,13293768.442600906,-32.022818791946314
122,$10^{-6}$/Mpc$^3$,SC,1.0,-28.65771812080537,0.0,13293768.442600906,-32.25771812080537
123,$10^{-6}$/Mpc$^3$,SC,1.0,-28.892617449664428,0.0,13293768.442600906,-32.49261744966443
124,$10^{-6}$/Mpc$^3$,SC,1.0,-29.12751677852349,0.0,13293768.442600906,-32.72751677852349
125,$10^{-6}$/Mpc$^3$,SC,1.0,-29.36241610738255,0.0,13293768.442600906,-32.96241610738255
126,$10^{-6}$/Mpc$^3$,SC,1.0,-29.59731543624161,0.0,13293768.442600906,-33.19731543624162
127,$10^{-6}$/Mpc$^3$,SC,1.0,-29.832214765100673,0.0,13293768.442600906,-33.432214765100674
128,$10^{-6}$/Mpc$^3$,SC,1.0,-30.06711409395973,0.0,13293768.442600906,-33.66711409395973
129,$10^{-6}$/Mpc$^3$,SC,1.0,-30.302013422818792,0.0,13293768.442600906,-33.90201342281879
130,$10^{-6}$/Mpc$^3$,SC,1.0,-30.536912751677853,0.0,13293768.442600906,-34.136912751677855
131,$10^{-6}$/Mpc$^3$,SC,1.0,-30.77181208053691,0.0,13293768.442600906,-34.37181208053691
132,$10^{-6}$/Mpc$^3$,SC,1.0,-31.006711409395972,0.0,13293768.442600906,-34.60671140939598
133,$10^{-6}$/Mpc$^3$,SC,1.0,-31.241610738255034,0.0,13293768.442600906,-34.841610738255035
134,$10^{-6}$/Mpc$^3$,SC,1.0,-31.476510067114095,0.0,13293768.442600906,-35.07651006711409
135,$10^{-6}$/Mpc$^3$,SC,1.0,-31.711409395973156,0.0,13293768.442600906,-35.31140939597316
136,$10^{-6}$/Mpc$^3$,SC,1.0,-31.946308724832214,0.0,13293768.442600906,-35.546308724832215
